,Negative keywords,Impressions,Clicks,Cost,Conversions,Conv. value,ROAS,Avg. CPC,AOV
0,SOL,95,39,0,0,0,,0,
1,ROYAL,3497,514,18,15,914,50.77777778,0.035019455,60.93333333
2,MAX,13475,389,6,8,272,45.33333333,0.015424165,34
3,OPI,8991,540,0,11,326,inf,0,29.63636364
4,BB,3018,371,6,3,141,23.5,0.016172507,47
5,sams,67032,4580,500,161,10976,21.952,0.109170306,68.17391304
6,BOSS,235534,14406,1183,434,25781,21.79289941,0.082118562,59.40322581
7,NYX,36136,1087,31,22,443,14.29032258,0.028518859,20.13636364
8,ECO,184697,2763,113,18,588,5.203539823,0.040897575,32.66666667
9,WAHL,7107,309,15,3,228,15.2,0.048543689,76
10,sam's,28415,1328,215,29,1982,9.218604651,0.16189759,68.34482759
11,PINK,59645,3215,70,22,609,8.7,0.021772939,27.68181818
12,COCKTAIL,99,23,0,0,0,,0,
13,KISS,496935,8877,256,82,3520,13.75,0.028838572,42.92682927
14,NUDE,3162,278,1,4,125,125,0.003597122,31.25
15,RAIN,8072,1315,81,25,967,11.9382716,0.061596958,38.68
16,SKY,338,88,3,1,40,13.33333333,0.034090909,40
17,SAGA,47787,5818,202,40,4236,20.97029703,0.034719835,105.9
18,GHD,6,1,0,0,0,,0,
19,VELVET,30858,3520,71,23,1214,17.09859155,0.020170455,52.7826087
20,TRIM,8349,306,15,0,0,0,0.049019608,
21,ROUX,562,74,0,2,67,inf,0,33.5
22,J2,8,6,0,0,0,,0,
23,AXE,74673,540,8,6,209,26.125,0.014814815,34.83333333
24,CROWN,7793,622,79,15,751,9.506329114,0.127009646,50.06666667
25,XQ,3121,419,10,8,1038,103.8,0.023866348,129.75
26,GIGI,1732,109,5,4,240,48,0.04587156,60
27,ACE,95,25,1,1,19,19,0.04,19
28,DEGREE,34,9,0,0,0,,0,
29,CIVIC,84,16,0,1,50,inf,0,50
30,DIANA,300,78,1,2,102,102,0.012820513,51
31,DIANE,579,96,0,1,11,inf,0,11
32,DREAMWEAVER,19932,761,24,3,159,6.625,0.031537451,53
33,NAKED,18945,2073,105,15,2223,21.17142857,0.05065123,148.2
34,LIVE,2490,396,11,1,126,11.45454545,0.027777778,126
35,SAMS,67032,4580,500,161,10976,21.952,0.109170306,68.17391304
36,JULIA,26,10,0,0,0,,0,
37,RENAISSANCE,3,2,0,0,0,,0,
38,IMAN,822,89,6,1,160,26.66666667,0.06741573,160
39,BABY PHAT,1746,43,2,1,26,13,0.046511628,26
40,SUPERMODEL,39,10,0,1,41,inf,0,41
41,CHI,112,20,0,0,0,,0,
42,TARA,8823,931,11,9,628,57.09090909,0.011815252,69.77777778
43,SECRET,10425,322,10,3,90,9,0.031055901,30
44,BROADWAY,191825,3944,183,48,1787,9.765027322,0.046399594,37.22916667
45,SPARKS,11105,457,36,0,0,0,0.078774617,
46,MITCHELL,47,10,1,0,0,0,0.1,
47,PINK DIAMOND,243,43,0,0,0,,0,
48,QP,5630,284,4,1,20,5,0.014084507,20
49,samsbeauty,444249,8235,2002,500,28692,14.33166833,0.243108682,57.384
50,ROBERTS,1442,136,1,6,522,522,0.007352941,87
51,GODDESS,164081,8912,520,96,6389,12.28653846,0.058348294,66.55208333
52,ONYX,23993,1758,37,4,303,8.189189189,0.021046644,75.75
53,REVLON,60371,1054,17,9,245,14.41176471,0.016129032,27.22222222
54,ESSENCE,756,179,1,0,53,53,0.005586592,inf
55,VO5,1015,105,0,3,7,inf,0,2.333333333
56,MAYBELLINE,24932,463,9,6,141,15.66666667,0.019438445,23.5
57,SELECT,1798,403,2,1,294,147,0.004962779,294
58,DISNEY,61,11,0,0,0,,0,
59,EVOLVE,130039,1362,123,9,188,1.528455285,0.09030837,20.88888889
60,SUMMIT,927,101,2,0,0,0,0.01980198,
61,GLAM,41351,621,10,14,457,45.7,0.01610306,32.64285714
62,THOMPSON,15,3,0,0,0,,0,
63,SNAP,2109,466,9,13,490,54.44444444,0.019313305,37.69230769
64,BOBBI BOSS,226244,13201,1072,399,24006,22.39365672,0.081205969,60.16541353
65,BLACK DIAMOND,1975,231,2,1,71,35.5,0.008658009,71
66,IC,476,83,0,3,133,inf,0,44.33333333
67,ESSIE,20044,627,13,12,219,16.84615385,0.020733652,18.25
68,FREEMAN,308,40,1,1,17,17,0.025,17
69,HOLLYWOOD,4008,543,17,3,323,19,0.031307551,107.6666667
70,FUBU,159,24,0,1,8,inf,0,8
71,TCB,3494,249,5,0,0,0,0.020080321,
72,EMPIRE,86030,7825,99,32,1809,18.27272727,0.012651757,56.53125
73,BABYLISS,19380,752,45,1,364,8.088888889,0.059840426,364
74,PROLINE,14,3,0,0,0,,0,
75,SIS,21747,2845,205,73,5148,25.11219512,0.072056239,70.52054795
76,NOW,9668,1055,21,3,96,4.571428571,0.019905213,32
77,OPTIMUM,274,45,0,2,16,inf,0,8
78,ANNIE,24524,857,57,15,582,10.21052632,0.066511085,38.8
79,ARDELL,10262,267,5,1,15,3,0.018726592,15
80,ASHANTI,455,78,3,2,72,24,0.038461538,36
81,CANTU,129527,627,17,1,59,3.470588235,0.027113238,59
82,DIVINA,153,31,0,0,0,,0,
83,EVE,316,90,1,0,0,0,0.011111111,
84,FISK,8,9,0,0,0,,0,
85,GABRIELLA,154,27,0,0,0,,0,
86,GIOVANNI,4045,123,2,1,3,1.5,0.016260163,3
87,HICKS,6543,96,4,2,300,75,0.041666667,150
88,EGO,581,153,0,1,126,inf,0,126
89,PRECIOUS,21,12,0,0,0,,0,
90,SCARLET,66,11,0,2,23,inf,0,11.5
91,VANESSA,3006,489,24,5,220,9.166666667,0.049079755,44
92,CALGON,338,16,0,0,0,,0,
93,DOVE,40156,928,29,2,44,1.517241379,0.03125,22
94,GARNIER,1858,62,0,1,50,inf,0,50
95,FDS,4550,171,5,4,126,25.2,0.029239766,31.5
96,AUTHENTIC,3554,629,15,28,1708,113.8666667,0.023847377,61
97,BEAT,3052,795,10,4,183,18.3,0.012578616,45.75
98,WELLA,311,100,4,5,266,66.5,0.04,53.2
99,SUN FLOWER,1,1,0,0,0,,0,
100,BIGEN,8367,151,0,1,11,inf,0,11
101,MILANI,39668,665,9,9,259,28.77777778,0.013533835,28.77777778
102,PANTENE,377,38,0,0,3,inf,0,inf
103,STARLET,290,47,0,0,0,,0,
104,VIVID,198,38,2,0,0,0,0.052631579,
105,DREAM,15967,1172,31,21,859,27.70967742,0.026450512,40.9047619
106,SHE,1884,180,4,1,240,60,0.022222222,240
107,AMORE MIO,623,74,0,0,39,inf,0,inf
108,AMBI,43562,543,27,5,217,8.037037037,0.049723757,43.4
109,TAHA,3095,163,4,3,72,18,0.024539877,24
110,ZURI,5494,511,10,11,386,38.6,0.019569472,35.09090909
111,ZURY,43005,5208,357,138,8318,23.29971989,0.068548387,60.27536232
112,WaWa,1,1,0,0,0,,0,
113,ADORE,100518,2844,184,42,1435,7.798913043,0.064697609,34.16666667
114,AWESOME,91,8,0,0,0,,0,
115,CREME,129070,2568,137,29,992,7.240875912,0.05334891,34.20689655
116,KIMA,166412,6548,567,152,6941,12.24162257,0.086591326,45.66447368
117,IDOL,113,25,1,0,0,0,0.04,
118,Tinkle,1201,18,0,0,0,,0,
119,SIMPLY,1727,265,6,11,603,100.5,0.022641509,54.81818182
120,KARA,27722,669,18,7,248,13.77777778,0.02690583,35.42857143
121,MIZANI,913,67,0,3,26,inf,0,8.666666667
122,BLACK & WHITE,108,9,0,0,0,,0,
123,AS I AM,4880,80,2,0,0,0,0.025,
124,NICOLE,1200,127,0,1,32,inf,0,32
125,AMOUR,2550,390,7,12,978,139.7142857,0.017948718,81.5
126,VIBE,1664,150,7,2,77,11,0.046666667,38.5
127,SALLY HANSEN,8558,215,2,2,18,9,0.009302326,9
128,L'OREAL,0,0,0,0,0,,,
129,ORGANIQUE,66994,4167,147,39,1639,11.14965986,0.035277178,42.02564103
130,MIXX,33,9,0,0,0,,0,
131,CONAIR,24125,432,7,10,134,19.14285714,0.016203704,13.4
132,BOMBSHELL,4397,365,31,17,1142,36.83870968,0.084931507,67.17647059
133,MILKY WAY,60405,7299,194,40,3052,15.73195876,0.026578983,76.3
134,CELEBRITY,460,82,1,3,516,516,0.012195122,172
135,GLANCE,10130,856,15,17,1098,73.2,0.017523364,64.58823529
136,DIAL,632,60,0,0,0,,0,
137,AVATAR,870,136,3,9,278,92.66666667,0.022058824,30.88888889
138,FROMM,53,12,0,0,0,,0,
139,RIMMEL LONDON,0,0,0,0,0,,,
140,TIMELESS,1606,180,7,7,266,38,0.038888889,38
141,PERSONNA,107,3,0,0,0,,0,
142,MORNING GLORY,10049,926,25,2,138,5.52,0.02699784,69
143,RESPONSE,387,75,0,5,202,inf,0,40.4
144,DEVA CURL,150,11,0,0,0,,0,
145,MOVATE,1856,107,4,1,2,0.5,0.037383178,2
146,JOHN FRIEDA,0,0,0,0,0,,,
147,TROPIC ISLE LIVING,11004,99,1,0,0,0,0.01010101,
148,Cover Your Gray,78,7,0,0,0,,0,
149,LA GIRL,63400,1751,57,33,1049,18.40350877,0.032552827,31.78787879
150,PALLADIO,19,7,0,0,0,,0,
151,COVER GIRL,3,3,0,0,0,,0,
152,KALEIDOSCOPE,50616,429,56,7,194,3.464285714,0.130536131,27.71428571
153,TOPPIK,5,3,0,0,0,,0,
154,BERRISOM,119,5,0,0,0,,0,
155,GOODY,42281,1258,11,20,380,34.54545455,0.008744038,19
156,CHERRY BLOSSOM,9874,596,7,19,918,131.1428571,0.011744966,48.31578947
157,BATIK,14150,1273,42,36,1858,44.23809524,0.03299293,51.61111111
158,ROMA LEE,38,5,0,0,0,,0,
159,QUEEN HAIR,767,97,6,4,226,37.66666667,0.06185567,56.5
160,ALTER EGO,5,4,0,0,0,,0,
161,BLACK ICE,573,59,1,1,5,5,0.016949153,5
162,DIVA QUEEN,114,29,0,2,169,inf,0,84.5
163,VIVICA FOX,9744,1040,38,20,1191,31.34210526,0.036538462,59.55
164,CARO WHITE,15623,285,20,2,718,35.9,0.070175439,359
165,FAMIS,8,2,0,0,0,,0,
166,CRUSADER,3245,294,12,7,61,5.083333333,0.040816327,8.714285714
167,BESHE,5639,698,39,14,546,14,0.055873926,39
168,MOTOWN TRESS,4580,618,13,18,814,62.61538462,0.021035599,45.22222222
169,SENSATIONNEL,249109,20967,3170,695,43607,13.75615142,0.151189965,62.74388489
170,BIOSILK,7139,329,17,0,0,0,0.051671733,
171,JUST FOR ME,20906,372,7,2,58,8.285714286,0.018817204,29
172,FANTASIA,3737,310,17,10,476,28,0.05483871,47.6
173,MIELLE,1037,23,0,0,0,,0,
174,ANDIS,45060,1298,37,9,505,13.64864865,0.028505393,56.11111111
175,GOT2B,53957,501,17,11,582,34.23529412,0.033932136,52.90909091
176,BRATZ,7,2,0,0,0,,0,
177,TGIN,7921,178,4,0,0,0,0.02247191,
178,VASELINE,60000,761,26,1,80,3.076923077,0.034165572,80
179,POSE,5007,403,4,3,120,30,0.009925558,40
180,SWISSCO,220,7,0,0,0,,0,
181,ECOTOOLS,2,1,0,0,0,,0,
182,ORGANIX,117,39,0,0,0,,0,
183,POSNER,437,35,0,0,0,,0,
184,CARMEX,20966,557,39,10,223,5.717948718,0.070017953,22.3
185,YAKY,9957,2270,57,30,2233,39.1754386,0.025110132,74.43333333
186,EUROLUX,239,12,0,0,0,,0,
187,AMPRO,1363,68,0,1,5,inf,0,5
188,DORCO,154,16,0,0,0,,0,
189,SCUNCI,13554,355,3,9,144,48,0.008450704,16
190,ANYTIME,104,26,0,0,0,,0,
191,WET N WILD,133,32,0,0,0,,0,
192,DUBY,50005,3561,99,36,2094,21.15151515,0.027801179,58.16666667
193,CUTEX,2953,59,1,1,45,45,0.016949153,45
194,PRECISION BEAUTY,3,2,0,1,11,inf,0,11
195,SUAVE,8620,171,0,3,100,inf,0,33.33333333
196,NADINOLA,14737,309,15,3,33,2.2,0.048543689,11
197,VAPON,6,3,0,0,0,,0,
198,SYLPH,0,0,0,0,0,,,
199,AFRICAN PRIDE,25559,764,19,3,66,3.473684211,0.02486911,22
200,AFRICAN ROYALE,32,8,0,0,0,,0,
201,ALMAY,12,6,0,0,0,,0,
202,BEAUTY TREATS,722,78,2,3,43,21.5,0.025641026,14.33333333
203,CHINA GLAZE,24,3,0,0,0,,0,
204,CLAIROL,58478,1813,32,18,875,27.34375,0.017650303,48.61111111
205,DEMERT,409,71,2,6,142,71,0.028169014,23.66666667
206,DOO GRO,50770,1147,48,7,297,6.1875,0.0418483,42.42857143
207,ISOPLUS,811,42,1,0,0,0,0.023809524,
208,JORDANA,1574,144,2,1,19,9.5,0.013888889,19
209,KERACARE,3372,123,0,1,52,inf,0,52
210,MOTIONS,11154,510,25,3,159,6.36,0.049019608,53
211,QUEEN HELENE,20099,424,5,2,128,25.6,0.011792453,64
212,SANEK,72,8,0,0,0,,0,
213,APHOGEE,110403,2397,140,14,445,3.178571429,0.058406341,31.78571429
214,NUTRA NAIL,2,1,0,0,0,,0,
215,SWISSPERS,800,60,2,1,10,5,0.033333333,10
216,MANE CONCEPT,43483,3226,179,57,4646,25.95530726,0.055486671,81.50877193
217,OUTRE,867668,49450,5468,1295,71049,12.99359912,0.11057634,54.86409266
218,CAREFREE,72,31,0,0,0,,0,
219,SANTEE,358,22,0,0,0,,0,
220,HAIRFINITY,163,6,1,0,0,0,0.166666667,
221,IDOLE,4269,182,10,3,49,4.9,0.054945055,16.33333333
222,APRILSKIN,13,1,0,0,0,,0,
223,CITY COLOR,0,0,0,0,0,,,
224,UPSCALE,226,54,1,1,172,172,0.018518519,172
225,CLOUD 9,33335,3498,668,109,7790,11.66167665,0.190966266,71.46788991
226,ESHA,8285,474,18,4,160,8.888888889,0.037974684,40
227,IT'S A 10,44,9,0,0,0,,0,
228,GROGANICS,10857,230,11,0,0,0,0.047826087,
229,JOHNSON&JOHNSON,0,0,0,0,0,,,
230,MURRAY'S,43930,672,15,1,76,5.066666667,0.022321429,76
231,AFRICAN FORMULA,1844,165,7,0,0,0,0.042424242,
232,JEWELRY FACTORY,0,0,0,0,0,,,
233,X-PRESSION,0,0,0,0,0,,,
234,HARLEM125,3747,353,12,16,971,80.91666667,0.033994334,60.6875
235,RESHMA,8019,405,7,8,244,34.85714286,0.017283951,30.5
236,PALMER'S,7707,47,0,0,0,,0,
237,SAY ME,1247,99,1,3,111,111,0.01010101,37
238,ABSOLUTE NEW YORK,6168,391,2,3,155,77.5,0.00511509,51.66666667
239,MISS JESSIE'S,38065,202,6,0,0,0,0.02970297,
240,SOFTSHEEN CARSON,1396,63,0,2,92,inf,0,46
241,SUPERNAIL,431,42,0,0,0,,0,
242,SHEA MOISTURE,8345,195,3,1,2,0.666666667,0.015384615,2
243,FREETRESS EQUAL,40975,4631,365,143,8061,22.08493151,0.07881667,56.37062937
244,EQUAL,59009,6628,441,178,9796,22.21315193,0.066535908,55.03370787
245,PROFUSION,4610,201,4,1,38,9.5,0.019900498,38
246,VALUE SET,1,1,0,0,0,,0,
247,SEPIA COLLECTION,15,4,0,0,0,,0,
248,FASHION DESIGN,53,4,0,0,0,,0,
249,BEAUTIFUL HAIR,40444,2250,206,68,2929,14.2184466,0.091555556,43.07352941
250,PRO LUX,2,1,0,0,0,,0,
251,THE CREME SHOP,1205,44,0,1,3,inf,0,3
252,HYPE HAIR,81,8,0,0,0,,0,
253,CHERIMOYA,1183,91,1,0,0,0,0.010989011,
254,A BELLE,17,7,0,0,0,,0,
255,AFRICA'S BEST,1979,93,1,0,0,0,0.010752688,
256,AFRICAN ESSENCE,113,32,0,0,3,inf,0,inf
257,ALI BUNDLES,604,54,0,1,94,inf,0,94
258,ALI HAIRS,2,1,0,0,0,,0,
259,ALI QUEEN HAIR,57,4,0,0,0,,0,
260,ALIBA,1754,244,7,3,251,35.85714286,0.028688525,83.66666667
261,ANY CURL,20,12,0,0,0,,0,
262,ART NATURALS,318,31,0,1,26,inf,0,26
263,BABY DON'T BE BALD,0,0,0,0,0,,,
264,BARE&NATURAL,28,11,0,1,36,inf,0,36
265,BEAUTY CREATIONS,3283,148,2,1,21,10.5,0.013513514,21
266,BEWIGG,116,22,1,0,0,0,0.045454545,
267,BLACK OPAL,26346,807,54,31,975,18.05555556,0.066914498,31.4516129
268,BLUE MOON BEAUTY,65,12,0,0,0,,0,
269,BOBOS,1844,163,0,1,30,inf,0,30
270,BOHYME,4281,237,12,3,678,56.5,0.050632911,226
271,BONFI NATURAL,166,37,2,0,2,1,0.054054054,inf
272,BUMP COLLECTION,280,70,1,0,3,3,0.014285714,inf
273,BY NATURES,381,49,1,1,21,21,0.020408163,21
274,CAMEO COSMETICS,0,0,0,0,0,,,
275,CAMILLE ROSE NATURALS,19779,54,12,0,0,0,0.222222222,
276,CHAP STICK,10,7,0,0,0,,0,
277,CLEAR ESSENCE,102,6,0,0,0,,0,
278,COCO CARE,1,1,0,0,0,,0,
279,CREME OF NATURE,119163,1826,130,17,719,5.530769231,0.071193866,42.29411765
280,DAGGETT & RAMSDELL,865,67,1,1,33,33,0.014925373,33
281,DARK & LOVELY,2669,152,0,1,63,inf,0,63
282,DASHLY WIG,3565,283,36,10,1028,28.55555556,0.127208481,102.8
283,DEEP INVISIBLE L PART,1107,168,14,3,182,13,0.083333333,60.66666667
284,DERMACTIN-TS,0,0,0,0,0,,,
285,DIAMOND REMY,7,3,0,0,0,,0,
286,DR. MIRACLE'S,0,0,0,0,0,,,
287,DUDU OSUN,14307,423,32,5,110,3.4375,0.075650118,22
288,DUVESSA,11264,738,16,1,48,3,0.021680217,48
289,E'TAE NATURAL PRODUCTS,0,0,0,0,0,,,
290,EBIN NEWYORK,4,1,0,0,0,,0,
291,EMPRESS LACE EDGE,11,3,0,0,0,,0,
292,EXTREME GLOW,858,52,1,1,29,29,0.019230769,29
293,FAB & FLY,71,11,2,1,29,14.5,0.181818182,29
294,FAIR & WHITE,959,56,1,3,102,102,0.017857143,34
295,FANTASY MAKERS,213,42,0,1,16,inf,0,16
296,FASHION SOURCE,58,16,1,0,0,0,0.0625,
297,FEMI COLLECTION,1245,103,11,2,52,4.727272727,0.106796117,26
298,FINGRS,50,13,0,0,4,inf,0,inf
299,FIRE & WATER,0,0,0,0,0,,,
300,FREETRESS,760584,32462,2904,838,42127,14.5065427,0.089458444,50.27088305
301,GAGA WIG STYLE,0,0,0,0,0,,,
302,GHOST BOND,104789,1723,175,12,376,2.148571429,0.101567034,31.33333333
303,GOLD FIELD,0,0,0,0,0,,,
304,GOLDN HOT,0,0,0,0,0,,,
305,HAIR STORY,1,1,0,0,0,,0,
306,HAIR TOPIC,122,35,4,0,0,0,0.114285714,
307,HASK PLACENTA,6,2,0,0,0,,0,
308,HEALING GARDEN,1212,109,0,0,0,,0,
309,HIGH BEAM,1258,145,2,4,104,52,0.013793103,26
310,HOT TOOL,3,2,0,0,0,,0,
311,HOT&HOTTER,0,0,0,0,0,,,
312,HUGGINGU,0,0,0,0,0,,,
313,I&I HAIR,4,2,0,0,0,,0,
314,INDI REMI,1137,156,3,0,0,0,0.019230769,
315,INFUSIUM23,0,0,0,0,0,,,
316,INSTANT FAB,248,57,0,0,0,,0,
317,INSTANT FASHION WIG,247,52,0,2,92,inf,0,46
318,INSTANT GLAM,89,22,0,2,35,inf,0,17.5
319,INSTANT GLITZ,95,12,0,0,8,inf,0,inf
320,INSTANT PONY,1146,149,7,12,366,52.28571429,0.046979866,30.5
321,INSTANT WEAVE,1037,248,27,7,339,12.55555556,0.108870968,48.42857143
322,IT'S A WIG,6447,1069,36,9,662,18.38888889,0.033676333,73.55555556
323,J LASH,1645,28,0,0,0,,0,
324,J.CAT BEAUTY,162,12,0,0,0,,0,
325,JAMAICAN MANGO & LIME,404,35,0,0,0,,0,
326,JANE CARTER SOLUTION,17760,160,10,0,0,0,0.0625,
327,JANET COLLECTION,220619,12565,1227,233,12604,10.27220864,0.097652209,54.0944206
328,JAZZING,5699,346,4,0,0,0,0.011560694,
329,JEROME RUSELL,0,0,0,0,0,,,
330,KANA COSMETICS,28,5,0,0,0,,0,
331,KANUBIA,203,56,0,2,103,inf,0,51.5
332,KARA BEAUTY,22628,377,13,6,173,13.30769231,0.034482759,28.83333333
333,KINKY-CURLY,0,0,0,0,0,,,
334,KISS PROFESSIONAL,173,28,0,0,0,,0,
335,KRAZYGLUE,0,0,0,0,0,,,
336,LA COLORS,4462,229,5,2,80,16,0.021834061,40
337,LA FLARE,77,20,0,0,0,,0,
338,LANO LUSTRE,702,120,3,4,38,12.66666667,0.025,9.5
339,LET'S JAM,2757,45,0,0,0,,0,
340,LIQUID GOLD,28,7,0,0,0,,0,
341,LORD & CLIFF,2,2,0,0,0,,0,
342,LOTTABODY,16159,549,12,10,171,14.25,0.021857923,17.1
343,LULUTRESS,58191,2706,190,122,5798,30.51578947,0.070214339,47.52459016
344,LUSTRASILK,781,93,1,1,27,27,0.010752688,27
345,MAGIC QUEEN,0,0,0,0,0,,,
346,MANE CHOICE,10704,163,3,1,30,10,0.018404908,30
347,MILKYWAY QUE,107,39,1,0,0,0,0.025641026,
348,MOCO DE GORILLA,1670,102,2,0,0,0,0.019607843,
349,MODEL MODEL LACE FRONT WIG,473,36,1,0,35,35,0.027777778,inf
350,MODELMODEL,1295,184,3,8,423,141,0.016304348,52.875
351,MYTRESSES,1292,137,10,3,244,24.4,0.072992701,81.33333333
352,NAILENE,2581,97,4,1,30,7.5,0.041237113,30
353,NANACOCO,2166,197,7,14,521,74.42857143,0.035532995,37.21428571
354,NENE'S SECRET,512,44,2,0,0,0,0.045454545,
355,NEW BORN FREE,3568,369,12,13,550,45.83333333,0.032520325,42.30769231
356,NEXT IMAGE,209,33,0,1,34,inf,0,34
357,NICKA K NEW YORK,4515,167,1,3,122,122,0.005988024,40.66666667
358,NUBIAN,17184,762,66,5,384,5.818181818,0.086614173,76.8
359,NUNAAT,471,83,0,0,0,,0,
360,NYC COLOR,12,0,0,0,0,,,
361,O BEAUTIFUL,8,5,0,0,0,,0,
362,O SECRET,19,6,0,0,0,,0,
363,O STUDIO,173,27,0,2,35,inf,0,17.5
364,ONE'N ONLY,0,0,0,0,0,,,
365,ORGANIC ROOT STIMULATOR,6108,325,13,3,79,6.076923077,0.04,26.33333333
366,OUTRE LACE,39183,2167,307,45,2577,8.394136808,0.141670512,57.26666667
367,PARFUMS DE COEUR,277,37,0,1,50,inf,0,50
368,PREMIUM NOW,9139,913,19,1,82,4.315789474,0.020810515,82
369,PREMIUM TOO,10912,928,21,6,295,14.04761905,0.02262931,49.16666667
370,PREMIUM TOO BRAZILIAN,9,5,0,0,0,,0,
371,PROFECTIV,1431,112,2,3,70,35,0.017857143,23.33333333
372,PURPLE PACK,66459,6930,132,27,1734,13.13636364,0.019047619,64.22222222
373,PUT ON PIECES,0,0,0,0,0,,,
374,PX LOOK,23,5,0,0,0,,0,
375,Pro Color Lens,0,0,0,0,0,,,
376,QUEEN BY ALI,0,0,0,0,0,,,
377,QUICK PONY,243,56,0,2,69,inf,0,34.5
378,QUICK WEAVE,61723,5929,177,29,1632,9.220338983,0.029853264,56.27586207
379,QUICK WEAVE COMPLETE CAP,511,93,1,1,23,23,0.010752688,23
380,QUTIX,543,101,1,0,0,0,0.00990099,
381,R&B COLLECTION,382,43,5,1,60,12,0.11627907,60
382,REMIST,109,26,0,0,0,,0,
383,RENUTRIENTS,443,23,0,0,0,,0,
384,ROYAL TIES,1405,115,6,0,11,1.833333333,0.052173913,inf
385,RUBY KISSES,30479,1353,20,20,439,21.95,0.014781966,21.95
386,S-CURL,0,0,0,0,0,,,
387,SALON PRO,5420,311,4,4,74,18.5,0.012861736,18.5
388,SHAKE N GO,21966,1924,106,22,1232,11.62264151,0.055093555,56
389,SHE IS BOMB,1033,37,1,1,12,12,0.027027027,12
390,SHEAR MUSE,4378,428,20,11,965,48.25,0.046728972,87.72727273
391,SILICON MIX,8562,80,4,0,0,0,0.05,
392,SINFUL COLORS,12,2,0,0,0,,0,
393,SMART CARE,1045,202,0,3,89,inf,0,29.66666667
394,SMOOTH'N SHINE,0,0,0,0,0,,,
395,SOFT & BEAUTIFUL,55,12,0,0,0,,0,
396,SOFTEE,5822,286,15,0,0,0,0.052447552,
397,SOULTRESS,59,17,2,0,0,0,0.117647059,
398,SPORTIN WAVES,337,9,0,0,0,,0,
399,START 2 FINISH,6,3,0,0,0,,0,
400,STELLA4SALON,0,0,0,0,0,,,
401,STUDIO CUT BY PROS,614,61,0,1,24,inf,0,24
402,STUDIO LIMITED,65,27,0,0,2,inf,0,inf
403,STYLE FACTOR,142866,3885,176,50,1602,9.102272727,0.045302445,32.04
404,STYLE PLUS,96,22,0,6,351,inf,0,58.5
405,STYLE360,1,1,0,0,0,,0,
406,SULFUR8,2011,76,2,1,71,35.5,0.026315789,71
407,TEXTURES & TONES,38,7,0,0,0,,0,
408,THE DAILY WIG,16305,893,119,23,1145,9.621848739,0.133258679,49.7826087
409,THE STYLIST,2692,435,19,18,1269,66.78947368,0.043678161,70.5
410,THE WIG,1752,367,17,9,531,31.23529412,0.046321526,59
411,TOPICLEAR,3063,137,6,1,53,8.833333333,0.04379562,53
412,TOTALLY INSTANT WEAVE,44,14,0,0,10,inf,0,inf
413,TWISTED SISTA,1868,51,2,0,0,0,0.039215686,
414,ULTRA GLOW,4520,172,10,0,7,0.7,0.058139535,inf
415,ULTRA SHEEN,991,33,0,0,0,,0,
416,UNIQ HAIR,3,2,0,0,0,,0,
417,URBAN BEAUTY,1202,254,7,3,120,17.14285714,0.027559055,40
418,VARIETY QUEEN,9,2,0,0,0,,0,
419,VIA NATURAL,3171,111,0,0,1,inf,0,inf
420,VIENNA COLLECTION,13,3,0,0,37,inf,0,inf
421,VIGOROL,110,14,0,1,23,inf,0,23
422,VIRGIN ORGANIC,83,20,0,1,54,inf,0,54
423,VOGUE HAIR,49,9,0,0,0,,0,
424,WALKER TAPE,1217,49,0,0,0,,0,
425,WAVE NOUVEAU,7487,187,6,4,107,17.83333333,0.032085561,26.75
426,WET-N-WAVY,0,0,0,0,0,,,
427,WIG DRESS,251,27,0,1,361,inf,0,361
428,WIGPOP,2035,196,3,11,395,131.6666667,0.015306122,35.90909091
429,WILD GROWTH,76709,1111,99,7,101,1.02020202,0.089108911,14.42857143
430,WORLD OF CURLS,1970,75,2,0,0,0,0.026666667,
431,YESONE,7,3,0,0,0,,0,
432,ZURI FLAWLESS,219,29,0,4,65,inf,0,16.25
